"STATION","NAME","DATE","PRCP"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-03","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-04","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-05","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-06","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-07","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-08","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-09","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-10","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-11","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-12","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-13","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-14","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-15","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-16","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-17","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-18","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-19","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-20","0.17"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-21","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-22","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-23","0.28"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-24","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-25","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-26","0.90"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-27","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-28","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-29","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-30","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-31","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-01","0.25"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-02","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-03","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-04","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-05","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-06","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-07","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-08","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-09","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-10","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-11","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-12","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-13","0.63"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-14","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-15","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-16","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-17","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-18","0.30"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-19","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-20","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-21","0.04"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-22","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-23","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-24","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-25","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-26","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-27","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-02-28","0.45"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-01","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-02","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-03","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-04","0.40"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-06","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-07","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-08","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-09","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-10","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-11","0.10"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-12","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-13","0.07"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-14","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-15","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-16","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-17","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-18","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-19","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-20","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-21","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-22","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-23","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-24","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-25","0.46"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-26","0.10"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-27","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-29","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-03-31",
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-01","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-02","0.66"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-03","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-04","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-05","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-07",
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-08","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-09","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-10","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-11","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-04-12","0.00"
